0,0
1,2.5398
2,2.5398
3,2.5398
4,2.52681
5,2.5398
6,2.5398
7,2.5398
8,2.52681
9,2.51395
10,2.50121
11,2.4886
12,2.4154
13,2.36885
14,2.39191
15,2.45148
16,2.4761
17,2.4886
18,2.46373
19,2.52681
20,2.52681
21,2.52681
22,2.5398
23,2.52681
24,2.52681
25,2.52681
26,2.52681
27,2.52681
28,2.52681
29,2.45148
30,2.50121
31,2.4886
32,2.46373
33,2.39191
34,2.39191
35,2.42731
36,2.4036
37,2.50121
38,2.46373
39,2.52681
40,2.5398
41,2.5398
42,2.5398
43,2.5398
44,2.5398
45,2.55292
46,2.52681
47,2.55292
48,2.5398
49,2.51395
50,2.51395
51,2.51395
52,2.46373
53,2.36885
54,2.38032
55,2.39191
56,2.46373
57,2.4886
58,2.51395
59,2.5398
60,2.51395
61,2.52681
62,2.52681
63,2.52681
64,2.52681
65,2.51395
66,2.52681
67,2.52681
68,2.52681
69,2.52681
70,2.51395
71,2.51395
72,2.4761
73,2.36885
74,2.39191
75,2.38032
76,2.45148
77,2.4886
78,2.50121
0,2.52681
1,2.5398
2,2.5398
3,2.55292
4,2.55292
5,2.51395
6,2.5398
7,2.5398
8,2.5398
9,2.5398
10,2.52681
11,2.51395
12,2.50121
13,2.50121
14,2.4761
15,2.38032
16,2.33504
17,2.4154
18,2.45148
